State,1969-70,1979-80,1989-90,1999-2000,2009-10,2019-20,2020-21,2021-22
1,2,3,4,5,6,7,8,9
United States (Average),"$8,626","$15,970","$31,367","$41,807","$55,370","$64,133","$65,293","$66,397"
Alabama ,"6,818","13,060","24,828","36,689","47,571","54,095","54,271","55,834"
Alaska ,"10,560","27,210","43,153","46,462","59,672","72,010","73,061","73,722"
Arizona ,"8,711","15,054","29,402","36,902","46,952","50,782","52,157","54,580"
Arkansas ,"6,307","12,299","22,352","33,386","46,700","50,456","51,668","52,486"
California ,"10,315","18,020","37,998","47,680","68,203","84,531","85,856","87,275"
Colorado ,"7,761","16,205","30,758","38,163","49,202","57,706","58,183","58,481"
Connecticut ,"9,262","16,229","40,461","51,780","64,350","78,427","79,742","81,185"
Delaware ,"9,015","16,148","33,377","44,435","57,080","64,853","65,141","65,647"
District of Columbia ,"10,285","22,190","38,402","47,076","64,548","79,350","80,659","82,523"
Florida ,"8,412","14,149","28,803","36,722","46,708","49,102","51,009","51,230"
Georgia ,"7,276","13,853","28,006","41,023","53,112","60,578","60,553","61,249"
Hawaii ,"9,453","19,920","32,047","40,578","55,063","65,409","70,922","67,000"
Idaho ,"6,890","13,611","23,861","35,547","46,283","52,875","51,817","54,232"
Illinois ,"9,569","17,601","32,794","46,486","62,077","68,083","70,705","72,301"
Indiana ,"8,833","15,599","30,902","41,850","49,986","51,745","53,072","54,126"
Iowa ,"8,355","15,203","26,747","35,678","49,626","58,184","58,831","59,262"
Kansas ,"7,612","13,690","28,744","34,981","46,657","51,320","53,619","54,815"
Kentucky ,"6,953","14,520","26,292","36,380","49,543","53,907","54,139","54,574"
Louisiana ,"7,028","13,760","24,300","33,109","48,903","51,566","52,472","52,376"
Maine ,"7,572","13,071","26,881","35,561","46,106","55,276","57,167","58,757"
Maryland ,"9,383","17,558","36,319","44,048","63,971","73,444","74,006","75,766"
Massachusetts ,"8,764","17,253","34,712","46,580","69,273","84,290","86,755","88,903"
Michigan ,"9,826","19,663","37,072","49,044","57,958","63,568","64,262","65,198"
Minnesota ,"8,658","15,912","32,190","39,802","52,431","58,663","66,561","68,491"
Mississippi ,"5,798","11,850","24,292","31,857","45,644","46,843","46,862","47,162"
Missouri ,"7,799","13,682","27,094","35,656","45,317","50,817","51,557","52,481"
Montana ,"7,606","14,537","25,081","32,121","45,759","52,135","53,133","53,628"
Nebraska ,"7,375","13,516","25,522","33,237","46,227","55,267","56,463","57,420"
Nevada ,"9,215","16,295","30,590","39,390","51,524","56,672","58,167","57,804"
New Hampshire ,"7,771","13,017","28,986","37,734","51,443","59,622","61,849","62,783"
New Jersey ,"9,130","17,161","35,676","52,015","65,130","76,376","77,677","79,045"
New Mexico ,"7,796","14,887","24,756","32,554","46,258","54,256","54,923","54,272"
New York ,"10,336","19,812","38,925","51,020","71,633","87,069","90,222","92,222"
North Carolina ,"7,494","14,117","27,883","39,404","46,850","54,150","53,458","53,644"
North Dakota ,"6,696","13,263","23,016","29,863","42,964","53,525","54,837","55,769"
Ohio ,"8,300","15,269","31,218","41,436","55,958","61,406","63,082","63,153"
Oklahoma ,"6,882","13,107","23,070","31,298","47,691","54,096","54,762","54,804"
Oregon ,"8,818","16,266","30,840","42,336","55,224","67,685","68,565","69,671"
Pennsylvania ,"8,858","16,515","33,338","48,321","59,156","70,339","71,479","72,248"
Rhode Island ,"8,776","18,002","36,057","47,041","59,686","75,336","75,966","76,852"
South Carolina ,"6,927","13,063","27,217","36,081","47,508","53,329","53,188","53,393"
South Dakota ,"6,403","12,348","21,300","29,071","38,837","48,984","49,547","49,761"
Tennessee ,"7,050","13,972","27,052","36,328","46,290","51,862","52,871","53,619"
Texas ,"7,255","14,132","27,496","37,567","48,261","57,090","57,641","58,887"
Utah ,"7,644","14,909","23,686","34,946","45,885","54,678","57,226","58,619"
Vermont ,"7,968","12,484","29,012","37,758","49,084","61,108","62,483","62,866"
Virginia ,"8,070","14,060","30,938","38,744","50,015","57,665","58,506","59,965"
Washington ,"9,225","18,820","30,457","41,043","53,003","76,743","79,388","81,586"
West Virginia ,"7,650","13,710","22,842","35,009","45,959","50,238","50,261","50,315"
Wisconsin ,"8,963","16,006","31,921","41,153","51,264","59,431","59,992","60,453"
Wyoming ,"8,232","16,012","28,141","34,127","55,861","59,786","60,234","60,820"
